NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,50E+11;2015;Marília;35;SP;;;;30;F;4204202;1;;2;1;4062;5504;4927;5606;1;640;H;B;2;C
1,50E+11;2015;Itamonte;31;MG;;;;19;M;3300407;1;;0;3;5305;6055;5342;5535;1;640;C;F;4;B
1,50E+11;2015;Campo Largo;41;PR;;;;18;F;4104204;1;;0;1;5556;6356;6074;5146;1;640;B;D;3;C
1,50E+11;2015;São Paulo;35;SP;;;;18;F;4128005;1;;0;1;6213;6363;6099;5098;1;640;E;B;2;E
1,50E+11;2015;São Paulo;35;SP;;;;23;F;3152303;1;;0;1;4876;5192;546;4944;1;640;C;E;3;B
1,50E+11;2015;Ribeirão Preto;35;SP;;;;17;F;3543402;1;;0;1;527;647;530;4802;1;640;C;F;3;C
1,50E+11;2015;Viamão;43;RS;;;;30;M;4314902;1;;0;3;5715;6016;5308;4701;1;640;B;E;1;C
1,50E+11;2015;Belo Horizonte;31;MG;;;;26;M;3106200;1;;0;3;4633;6286;556;4515;1;640;B;D;5;D
1,50E+11;2015;Paracatu;31;MG;;;;24;F;3170404;1;;1;4;5013;6352;5593;4443;1;640;E;C;2;C
1,50E+11;2015;Tubarão;42;SC;;;;18;F;4218707;1;;0;1;5458;5974;5945;4328;1;640;D;B;3;G
1,50E+11;2015;Senhor do Bonfim;29;BA;;;;18;M;3529401;1;;0;2;5022;5682;5273;4193;1;640;C;F;6;F
1,50E+11;2015;Novo Gama;52;GO;;;;32;M;5300108;1;;1;1;5325;6633;6786;4106;1;640;B;A;3;D
1,50E+11;2015;Alto Paraná;41;PR;;;;18;M;4100608;1;;0;1;4901;5655;545;4046;1;640;B;B;4;D
1,50E+11;2015;Caxambu;31;MG;;;;26;F;3115508;1;;0;3;4144;6889;5933;4016;1;640;B;B;1;C
1,50E+11;2015;Brasília;53;DF;;;;23;F;3106200;1;;0;3;4818;6245;6195;4008;1;640;E;G;3;L
1,50E+11;2015;Pesqueira;26;PE;;;;21;F;2610905;1;;0;3;3931;5128;4854;3944;1;640;B;E;3;C
1,50E+11;2015;Itaporanga d'Ajuda;28;SE;;;;22;F;2800308;1;;1;3;3926;5346;4943;3912;1;640;B;B;5;B
1,50E+11;2015;Divinópolis;31;MG;;;;42;F;3170107;1;;0;3;4469;6155;5257;3744;1;640;D;B;3;G
1,50E+11;2015;Teresina;22;PI;;;;22;F;2211001;1;;0;1;6102;6049;5909;643;1;640;A;F;2;L
1,50E+11;2015;Viçosa;31;MG;;;;18;M;3171303;1;;0;1;624;6613;5946;7611;1;620;E;E;4;K
1,50E+11;2015;Petrolina;26;PE;;;;21;M;2918407;1;;0;1;5961;6141;4493;7152;1;620;E;E;5;C
1,50E+11;2015;Itatiaia;33;RJ;;;;26;M;3304201;1;;0;1;5592;648;6147;6741;1;620;D;C;5;C
1,50E+11;2015;Recife;26;PE;;;;21;M;2611606;1;;0;3;5513;6155;5913;6473;1;620;B;E;6;I
1,50E+11;2015;Novo Cruzeiro;31;MG;;;;21;F;3145307;1;;0;3;5319;6337;5927;6351;1;620;B;B;3;B
1,50E+11;2015;Nova Iguaçu;33;RJ;;;;31;F;3301702;1;;;1;514;6327;5447;5898;1;620;C;B;6;D
1,50E+11;2015;Itaquaquecetuba;35;SP;;;;22;F;2601904;1;;;3;5099;614;5812;5478;1;620;B;B;2;C
1,50E+11;2015;Morro Redondo;43;RS;;;;26;F;4314456;1;;0;0;5005;5548;560;5395;1;620;E;E;3;B
1,50E+11;2015;Maracanaú;23;CE;;;;22;F;2307650;1;;0;1;4457;5733;4851;5266;1;620;E;E;3;C
1,50E+11;2015;São José dos Pinhais;41;PR;;;;19;F;4106902;1;;0;1;4484;5635;5479;5115;1;620;H;E;4;D
1,50E+11;2015;Caçapava;35;SP;;;;16;F;3508504;1;;0;1;5161;6141;5149;5059;1;620;F;E;3;I
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;24;F;3304557;1;;1;3;4898;5557;5475;5056;1;620;D;D;4;H
1,50E+11;2015;Brasília;53;DF;;;;21;F;5300108;1;;0;3;4403;5295;5107;4653;1;620;D;C;4;C
1,50E+11;2015;Salvador;29;BA;;;;18;F;2927408;1;;0;2;4763;5291;4695;4545;1;620;H;E;3;D
1,50E+11;2015;Floriano;22;PI;;;;19;F;2203909;1;;0;1;4808;5932;5854;4388;1;620;E;G;3;M
1,50E+11;2015;Campina Grande;25;PB;;;;22;M;2504009;1;;0;1;4521;6306;5693;4349;1;620;B;E;3;B
1,50E+11;2015;Fortaleza;23;CE;;;;20;F;2304400;1;;1;3;5629;5552;5663;4325;1;620;D;E;5;D
1,50E+11;2015;Vila Velha;32;ES;;;;18;F;3205200;1;;0;3;4473;5687;4016;4264;1;620;C;E;3;D
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;22;F;3304557;1;;;1;5193;5875;6196;4215;1;620;D;D;2;D
1,50E+11;2015;Igarassu;26;PE;;;;21;F;2611606;1;;0;2;4102;5923;4974;4212;1;620;C;B;3;D
